Group,Sector,Project/Location,State,Year,Status,GOI_Support_Type,Support_Note,Modi_Era,Latitude,Longitude,Details,Source_URLs,Source_Note,Verification_Status,Last_Updated
Adani,Port,Mormugao Terminal,Goa,2015,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,15.41,73.8,Coal handling terminal,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Tuna Tekra Terminal,Gujarat,2017,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,22.95,70.03,Kandla Port expansion,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,Dighi Port,Maharashtra,2020,Operational,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,18.22,72.92,74% stake acquisition,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Port,NQXT Australia,"Queensland, Australia",2025,Acquired,Direct Govt Contract/PPP,"Maritime PPP concessions, land leases at nominal rates",Yes,-20.05,148.25,50 MTPA coal terminal acquisition. APSEZ completed 100% acquisition Dec 2025.,https://www.adaniports.com/Investor-Relations | https://www.adaniports.com/Port-Locations | https://www.reuters.com/companies/ADEL.NS,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-07-08
Adani,Airport,Mumbai International Airport,Maharashtra,2021,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,19.0896,72.8656,"CSMIA, 74% stake, ₹18,800 Cr via AEML",https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Navi Mumbai International Airport,Maharashtra,2017,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,18.98,73.03,"Greenfield, opening Dec 2025. Commercial operations began Dec 2025.",https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-07-08
Adani,Airport,Ahmedabad Airport,Gujarat,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,23.0767,72.63,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Lucknow Airport,Uttar Pradesh,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,26.7606,80.8893,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Mangalore Airport,Karnataka,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,12.9616,74.89,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Jaipur Airport,Rajasthan,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,26.8242,75.8122,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Guwahati Airport,Assam,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,26.1067,91.5858,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Airport,Thiruvananthapuram Airport,Kerala,2019,Operational,Direct Govt Contract/PPP,"AAI PPP 50-year concessions, bidding rules modified 2019",Yes,8.4828,76.92,50 year lease from AAI,https://www.aai.aero/en/business-opportunities/ppp-projects | https://www.adanienterprises.com/investors | https://www.adaniairports.com/,Government tender/PPP award - verify via respective ministry/authority website,Pending independent verification,2026-01-12
Adani,Thermal Power,Mundra Thermal Power,Gujarat,2012,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",No,22.83,69.72,"4,620 MW ultra mega power plant",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Tiroda Power,Maharashtra,2012,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",No,21.4,79.95,"3,300 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Kawai Power,Rajasthan,2013,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",No,25.05,76.05,"1,320 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Udupi Power,Karnataka,2010,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",No,13.43,74.75,"1,200 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Raipur Power,Chhattisgarh,2015,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,21.25,81.63,"1,370 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Raigarh Power,Chhattisgarh,2019,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,22.08,83.39,"Acquired GMR unit, 1,370 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Korba Power,Chhattisgarh,2020,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,22.36,82.68,600 MW,https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Godda Thermal Power,Jharkhand,2023,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,24.83,87.21,"1,600 MW, exports to Bangladesh",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Mahan Power,Madhya Pradesh,2016,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,24.1,82.05,"1,200 MW Essar acquisition",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Dahanu Power,Maharashtra,2022,Operational,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,19.96,72.71,"AEML, 500 MW",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Assam Thermal Power,Assam,2025,Planned,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,26.15,91.75,"3,200 MW ultra super critical, ₹48,000 Cr MoU",https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Thermal Power,Jharkhand Expansion,Jharkhand,2024,Under Construction,Policy/Regulatory Benefit,"Coal linkages, environmental clearances, SEZ benefits",Yes,24.85,87.23,Godda Phase 2,https://cea.nic.in/dashboard/ | https://www.adani.com/investors | https://www.adanipower.com/,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Renewable Energy,Khavda RE Park,Gujarat,2023,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,23.85,69.08,"World's largest, 30 GW planned, 5,355 MW operational",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Kamuthi Solar,Tamil Nadu,2016,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,9.35,78.42,"648 MW, one of world's largest",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Pavagada Solar Park,Karnataka,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,14.1,77.27,"2 GW capacity, AGEL has major stake",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Bhadla Solar Park,Rajasthan,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,27.52,71.91,"AGEL units, part of 2,245 MW park",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Pokhran Solar,Rajasthan,2021,Under Construction,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,26.92,71.92,1.5 GW planned,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Jaisalmer Wind-Solar,Rajasthan,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,26.9157,70.9083,"Hybrid projects, 2,140 MW cluster",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Kutch Solar,Gujarat,2018,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,23.7,70.5,Multiple projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Anantapur Solar,Andhra Pradesh,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,14.68,77.6,Part of 15 GW AP commitment,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Kadapa Solar,Andhra Pradesh,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,14.47,78.82,Multiple units,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Kurnool Solar,Andhra Pradesh,2018,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,15.83,78.05,Part of SECI projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Raichur Solar,Karnataka,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,16.2,77.37,Karnataka DISCOM,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Bellary Wind,Karnataka,2018,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,15.14,76.92,Wind farm,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Davangere Solar,Karnataka,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,14.46,75.92,Karnataka projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,MP Solar Projects,Madhya Pradesh,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,23.25,77.4,"Multiple units, Rewa region",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,UP Solar Projects,Uttar Pradesh,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,26.85,80.95,Multiple UPNEDA projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Telangana Solar,Telangana,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,17.38,78.49,State DISCOM,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Maharashtra Solar,Maharashtra,2020,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,19.76,75.5,MSEDCL projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Chhattisgarh Solar,Chhattisgarh,2021,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,21.27,81.87,CSPDCL projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Punjab Solar,Punjab,2021,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,30.79,75.84,PSPCL projects,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Gujarat Wind,Gujarat,2017,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,22.3,70.8,Multiple wind farms,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Tamil Nadu Wind,Tamil Nadu,2018,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,8.72,77.75,Southern TN wind corridor,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,Rajasthan Wind,Rajasthan,2019,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,27.02,70.66,Jaisalmer-Barmer region,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,SB Energy Gujarat,Gujarat,2021,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,23.5,70.5,"Acquired from SoftBank, $3.5B",https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,SB Energy Rajasthan,Rajasthan,2021,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,27.2,71.0,Acquired from SoftBank,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Renewable Energy,SB Energy Andhra,Andhra Pradesh,2021,Operational,SECI Solar Contract,"SECI competitive bids, 8GW manufacturing-linked tender 2020",Yes,14.5,78.0,Acquired from SoftBank,https://www.seci.co.in/awarded-projects | https://www.adanigreenenergy.com/investors | https://mnre.gov.in/,SECI tender award - verify via seci.co.in awarded projects,Pending independent verification,2026-01-12
Adani,Pumped Storage,Chitravathi PSP,Andhra Pradesh,2024,Under Construction,Policy/Regulatory Benefit,Renewable energy support policies,Yes,14.1,77.5,"500 MW, first PSP project",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Gandikota PSP,Andhra Pradesh,2024,Under Construction,Policy/Regulatory Benefit,Renewable energy support policies,Yes,14.82,78.29,"1,800 MW",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Tarali PSP,Maharashtra,2024,Under Construction,Policy/Regulatory Benefit,Renewable energy support policies,Yes,17.05,73.85,"1,500 MW, Satara district",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Patgaon PSP,Maharashtra,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,16.8,73.7,"Part of ₹60,000 Cr Western Ghats MoU",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Koyna-Nivakane PSP,Maharashtra,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,17.4,73.75,"2,450 MW, Satara",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Warasgaon PSP,Maharashtra,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,18.45,73.4,Pune district,https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Malsej Ghat PSP,Maharashtra,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,19.65,73.78,Pune district,https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Panaura PSP,Uttar Pradesh,2025,Awarded,Policy/Regulatory Benefit,Renewable energy support policies,Yes,24.2,83.05,"1,250 MW, Sonbhadra, 40-year PPA",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Koyabestagudem PSP,Telangana,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,18.0,80.0,"850 MW, MoU 2024",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Nacharam PSP,Telangana,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,17.5,79.5,"500 MW, MoU 2024",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Tamil Nadu PSP 1,Tamil Nadu,2025,Planned,Policy/Regulatory Benefit,Renewable energy support policies,Yes,11.5,77.0,"Part of ₹24,500 Cr MoU, 3 projects",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Pumped Storage,Assam PSP,Assam,2025,Awarded,Policy/Regulatory Benefit,Renewable energy support policies,Yes,26.0,92.5,"2,700 MW combined, ₹15,000 Cr",https://www.adani.com/investors | https://www.reuters.com/companies/ADEL.NS | https://economictimes.indiatimes.com/topic/adani-group,Policy benefit (SEZ/coal linkage/clearance) - verify via respective ministry,Pending independent verification,2026-01-12
Adani,Cement,Ambuja - Ambujanagar,Gujarat,2022,Operational,Private Acquisition (No GOI),"Holcim/ACC acquisition 2022, private deals",Yes,20.91,70.41,"Kodinar, 5 MTPA integrated",https://www.adaniceramics.com/ | https://www.adanienterprises.com/investors | https://economictimes.indiatimes.com/topic/adani-group,Private market acquisition - verify via company filings and news reports,Pending independent verification,2026-01-12
Adani,Cement,Ambuja - Bhatapara,Chhattisgarh,2022,Operational,Private Acquisition (No GOI),"Holcim/ACC acquisition 2022, private deals",Yes,21.73,81.95,6.5 MTPA integrated,https://www.adaniceramics.com/ | https://www.adanienterprises.com/investors | https://economictimes.indiatimes.com/topic/adani-group,Private market acquisition - verify via company filings and news reports,Pending independent verification,2026-01-12
